0	63276
2	48333
3	5948
4	4707
1	3121
5	2000
1	54665
2	46057
0	9123
9	8317
3	4612
6	2912
4	2826
5	1661
7	561
8	196
0	59026
8	12916
2	10316
14	8317
10	6387
1	4645
3	4545
13	4413
6	2912
7	770
11	679
12	632
4	294
5	275
9	228
17	40371
60	27330
19	11757
58	7007
7	4413
20	4412
12	4339
94	3933
61	3649
96	3128
82	2912
59	2898
57	2733
29	2199
79	1724
16	1205
78	999
69	729
1	644
18	624
68	566
95	565
99	496
63	473
14	469
27	410
88	405
4	386
22	365
92	350
36	348
28	343
62	337
98	295
21	289
30	262
51	217
10	199
13	196
52	189
64	179
37	176
23	174
97	165
44	164
6	163
66	155
34	145
90	130
33	107
87	100
39	95
76	93
71	90
84	89
93	89
40	81
0	78
53	78
26	77
3	76
32	73
45	69
24	68
9	66
31	60
25	56
73	56
35	54
81	53
11	52
75	52
15	41
48	41
83	41
77	37
43	32
2	31
91	30
86	29
89	28
5	26
72	24
46	22
56	21
67	21
70	20
65	17
49	15
80	13
74	12
47	10
85	10
42	9
50	9
8	8
38	8
41	8
54	0
55	0
